Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,51.4,2.05,13,25.3,13.5,1.15,51.4,2.13,0.66,30.8,1.31,61.5,23.6,137.3,73,2.05,1.72,0.41,1.89,1.23,27.2,2.95,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,51.9,5.78,24.7,25.6,2.08,0.63,51.9,0.48,0.27,56.3,0.18,37.5,29.1,147.1,86.9,0.48,0.18,0.03,0.57,0.3,32,0.21,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,71.7,7.67,43.7,26.3,2,1.33,71.7,0.33,0.33,100,0,0,42.7,187.7,94,0.33,0,0,0,0,53,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,37.3,2.72,9.39,17.1,10.9,1.56,37.3,0.39,0.11,28.6,0.28,71.4,14.9,54.8,23,0.33,0.67,0.06,0.89,0.5,19.8,2.94,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,48.5,0.43,8.91,15,25.9,5.43,48.5,4.78,2.17,45.5,1.52,31.8,28.9,211.5,108.5,4.13,1.96,1.3,3.91,1.52,30,9.78,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,24,0.95,1.59,10.2,12.4,5.18,23.8,1.31,0.3,23.3,0.88,67.4,11.6,47.7,16.5,0.7,0.46,0.24,2.53,1.34,16.5,4.09,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,56.9,1.25,9.38,26.9,20.6,1.25,56.9,1.25,0.63,50,0.63,50,35,173.1,75.6,1.25,1.88,0,1.25,1.25,46.3,3.13,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,70,0,0,0,70,20,70,20,10,50,10,50,50,260,130,10,0,0,0,0,50,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,67.8,1.11,9.44,19.4,39.4,6.11,67.8,6.67,2.78,41.7,3.33,50,41.1,259.4,136.1,5.56,5,2.78,4.44,1.67,49.4,18.3,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,59.5,0.48,7.62,23.3,30,3.33,59.5,6.19,1.9,30.8,3.33,53.8,39.5,234.8,147.1,7.14,4.29,1.43,4.76,1.43,39,7.14,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,56.3,10.4,32.8,21.3,2.38,1.03,56.3,0.06,0.03,50,0.03,50,26.1,115.2,71.6,0.28,0.28,0,0.28,0.03,31.6,0.19,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,63,8.35,36.5,23.7,3.04,0.25,63,0,0,,0,,29.9,119.9,66.5,0,0.25,0,0.76,0,36.2,0.25,Matches
