Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,0.73,0,0,2.93,1.46,0.24,4.39,1.22,1.71,0,0,0,4.88,0.98,1.95,33.3,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,0,0,0,0,0.17,0,0,0,0,0,0,0,1,0,0,,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,0.15,0,0,1.19,1.19,0.75,2.09,0.6,0.75,0,0,0,2.84,1.19,1.64,42.1,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,1.33,0,0,1.33,2,0,0.67,0,1.33,0,0,0,5.33,0,4,0,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,0.34,0,0,1.16,0.86,0.09,3.39,1.22,1.47,0,0.03,0,4.01,1.25,0.83,60.3,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,0.17,0,0,1.6,1.13,0,0.13,2.02,1.3,0,0,0,5.8,1.22,0.76,61.7,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,0.34,0,0,1.5,1.31,0.03,1.25,2.08,1.8,0,0,0,5.02,1.01,0.61,62.3,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,0.05,0,0,1.03,0.38,0.16,2.23,0.92,0.87,0,0,0,3.59,0.16,0.76,17.6,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,0.15,0,0,0.44,0.88,0,2.06,1.47,1.18,0,0,0,3.09,1.03,0.74,58.3,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,0.19,0,0,1.3,0.56,0,0.37,0.56,1.11,0,0,0,5.37,1.11,0.93,54.5,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,0.22,0.06,0.06,1.45,2.01,0,0.5,1.23,1.4,0,0,0,5.03,0.45,1.28,25.8,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,0.32,0,0,1.05,0.41,0.03,0.06,1.02,0.82,0.03,0.03,0,3.16,1.96,1.02,65.7,Matches
