Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,24.2,36.7,65.8,388.8,97.6,12.9,15.4,83.5,8.23,11.2,73.3,2.19,7.15,30.6,0.27,0.19,0.17,0.08,1.77,1.88,1.08,0.42,3,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,54.8,59.3,92.5,975.6,230.7,24.4,26.3,93,26.7,28.5,93.5,3.7,4.07,90.9,0,0,0.04,0,0.37,4.44,0,0,2.96,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,42.1,54.2,77.7,616.3,101.7,22.5,25.4,88.5,18.8,22.1,84.9,0.42,2.5,16.7,0.42,0.17,0.17,0.25,1.67,1.67,0.42,0.42,3.33,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,18.2,25.4,71.7,234.7,65,11.9,14.2,83.8,4.49,6.15,72.9,0.51,1.15,44.4,0.13,0.09,0.05,0.04,0.9,1.28,0.9,0.38,1.79,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,24.3,31.9,76.1,504.2,194,6.69,7.37,90.8,14.5,17.2,84.2,2.8,6.61,42.3,0,0,0.01,0,0.08,1.78,0.17,0,2.12,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,33.4,42.2,79.3,610.5,217.6,14.1,16.6,85.3,15.2,17.7,85.8,3.47,5.94,58.3,0.03,0.05,0.06,-0.02,0.5,4.69,0.63,0.3,4.82,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,75,84.5,88.8,1379.7,481.9,32,34.1,93.8,34.8,37.7,92.3,7.7,10.7,72.1,0.06,0.05,0.08,0.01,0.61,10,0.84,0.26,8.8,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,32.9,41.1,79.9,507.9,158.8,17.7,19.6,90.4,13.9,17.7,78.7,0.9,2.38,37.9,0,0.04,0.05,-0.04,0.41,3.61,0.66,0.33,3.77,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,36.7,42.2,87,707.3,272.4,12.3,13.3,91.9,20.7,22.3,93.1,3.46,5.84,59.3,0,0.03,0.02,-0.03,0.12,2.59,0.18,0,3.34,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,58,63.3,91.6,1002.3,372.7,25,25.7,97.4,29,31,93.5,3.67,6.33,57.9,0,0,0,0,0,0.67,0,0,2.33,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,21.1,27.9,75.7,296.6,75.3,12.3,14.2,87.1,6.94,9.33,74.4,0.78,1.78,43.8,0.11,0.02,0.03,0.09,0.5,1.56,0.11,0,2.39,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,23,31.3,73.6,311.1,73.5,15.2,18.7,81.4,4.78,6.74,71,1.52,2.61,58.3,0.43,0.11,0.11,0.33,1.09,0.43,0.87,0.22,1.09,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,7.29,13,56.1,92.1,15.3,4.94,7.59,65.1,1.8,3.48,51.8,0.15,0.34,45.5,0.12,0.05,0.04,0.07,0.49,0.37,0.21,0,0.73,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,41.9,46.3,90.5,676.3,68.8,21.9,23.8,92.1,14.4,15.6,92,3.13,3.75,83.3,0,0,0.06,0,0,2.5,0.63,0,3.13,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,40,50,80,410,120,40,40,100,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,33.3,46.7,71.4,498.3,106.7,20.6,25,82.2,11.7,16.1,72.4,0.56,1.67,33.3,0,0.22,0.11,-0.22,2.22,0.56,1.67,0,6.11,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,28.1,40,70.2,357.6,48.1,16.2,20,81,10,14.3,70,0,1.9,0,0,0,0.05,0,0.48,1.43,0.48,0,2.38,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,34,45.2,75.2,698.1,316.5,11.3,13.1,86.4,17.6,20.3,87,4.67,10.5,44.6,0.06,0.03,0.02,0.03,0.28,2.82,0.47,0.09,2.16,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,41.1,48.2,85.3,811.1,319,13.4,14.6,92.2,21.6,23.4,92.4,5.44,8.48,64.2,0,0,0.01,0,0.38,2.15,0.13,0.13,2.15,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,57.4,65,88.3,931.2,246.9,28.2,30.1,93.7,24.3,26.1,92.8,3.52,5.41,65.2,0.16,0.07,0.06,0.1,0.9,5,0.41,0,5,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,16.4,20.9,78.7,227.7,35.9,10.1,12,84.1,4.84,5.79,83.6,0.56,0.71,77.8,0.16,0.16,0.09,0,1.51,0.95,0.56,0,2.14,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,53.3,63.2,84.3,941.2,328.7,23.9,26.2,91.3,21.4,24.5,87.3,6.14,9.39,65.3,0.23,0.07,0.08,0.16,1.06,5.45,0.91,0.3,6.59,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,30.7,38.6,79.5,513.1,83.8,15.2,16.9,89.8,12.1,14.8,81.4,2.41,5.52,43.8,0,0.07,0.07,-0.07,2.07,2.07,0.69,0,2.07,Matches
