Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
547,Iago Parente,es ESP,DF,Valladolid,18,2006,1,71,71,2.1,0.8,1.25,71,0,0,,5,0,0,0,0,0,1.72,0.37,0.87,-0.5,-0.54,0.33,Matches
548,Álvaro Pascual,es ESP,FW,Sevilla,22,2002,8,408,51,11.9,4.5,0.89,67,0,0.89,35,0.44,0.88,1.56,1.56,0,0,0.39,1.67,0.8,0.84,0.85,1.1,Matches
549,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,12,460,38,13.5,5.1,0.78,80,0.39,1.57,18,0.39,1.92,1.96,1.18,0.78,0.78,0.3,1.45,1.31,0.14,0.15,-0.45,Matches
550,Pedri,es ESP,MF,Barcelona,21,2002,37,"2,879",78,84.2,32,1.09,81,0.47,0.06,21,0,2.3,2.41,0.94,1.47,1.47,-1.19,2.21,1.08,1.13,1.13,-1.09,Matches
551,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,31,"2,298",74,67.2,25.5,1.06,82,0.63,0.16,19,0.12,1,1.06,1.29,-0.24,-0.23,0.33,1.13,1.16,-0.04,-0.04,0.26,Matches
552,Pejiño,es ESP,FW,Las Palmas,28,1996,1,16,16,0.5,0.2,0,,0,5,16,35,1,0,0,0,0,0.56,0.5,0.5,0,-0.22,0.59,Matches
553,Andy Pelmard,fr FRA,DF,Las Palmas,24,2000,4,205,51,6,2.3,0.87,75,0.43,0.87,28,2.17,0.25,1.3,1.3,0,0,0.59,1.22,1.74,-0.52,-0.53,0.29,Matches
554,Iñaki Peña,es ESP,GK,Barcelona,25,1999,16,"1,396",87,40.8,15.5,0.97,90,0.97,0.06,46,1.42,1.69,2.32,1.16,1.16,1.16,-0.84,2.48,1.31,1.17,1.16,-0.24,Matches
555,Rubén Peña,es ESP,"FW,DF",Osasuna,33,1991,25,775,31,22.7,8.6,0.81,67,0.12,2.09,17,1.28,1.28,1.05,1.4,-0.35,-0.35,-0.31,1.2,1.56,-0.36,-0.36,-0.13,Matches
556,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,28,"1,500",54,43.9,16.7,0.9,78,0.3,0.78,25,0,2.11,1.8,1.38,0.42,0.42,-0.19,1.65,1.38,0.26,0.27,-0.48,Matches
557,Peque,es ESP,"MF,FW",Sevilla,21,2002,26,"1,134",44,33.2,12.6,1.11,70,0.08,0.95,13,0.87,0.96,1.27,1.35,-0.08,-0.08,0.39,1.17,1.17,0.01,0,0.19,Matches
558,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,30,"1,970",66,57.6,21.9,1,80,0.41,0.37,27,0,1.93,1.69,1.14,0.55,0.55,0.05,1.65,1.16,0.5,0.49,-0.11,Matches
559,Carles Pérez,es ESP,"MF,FW",Getafe,26,1998,27,"1,431",53,41.8,15.9,0.94,74,0.25,0.75,27,0.69,0.89,0.94,1.07,-0.13,-0.13,0.01,1.03,1.09,-0.07,-0.07,0.31,Matches
560,Francisco Perez,es ESP,"FW,MF",Valencia,21,2002,26,570,22,16.7,6.3,0.63,53,0,3.49,16,0.79,1.54,0.79,1.43,-0.63,-0.63,-0.44,1.22,1.52,-0.32,-0.31,-0.1,Matches
561,Kike Pérez,es ESP,MF,Valladolid,27,1997,19,"1,191",63,34.8,13.2,1.06,75,0.15,0.38,27,0.08,0.79,0.53,1.89,-1.36,-1.36,0.5,0.87,1.59,-0.72,-0.72,0.23,Matches
562,Luis Pérez,es ESP,DF,Valladolid,29,1995,30,"2,558",85,74.8,28.4,0.99,89,0.95,0.07,39,0.14,0.53,0.7,2.29,-1.58,-1.58,0.4,0.93,1.66,-0.73,-0.73,0.53,Matches
563,Romain Perraud,fr FRA,DF,Betis,26,1997,28,"2,002",72,58.5,22.2,0.99,85,0.86,0.27,22,0.36,1.25,1.53,1.4,0.14,0.13,-0.12,1.5,1.54,-0.04,-0.03,-0.34,Matches
564,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,1,6,6,0.2,0.1,0,,0,10,6,40,0,0,10,-10,-15,-14.47,1,1,0,0.73,1.53,Matches
565,Pica,es ESP,DF,Alavés,22,2002,9,499,55,14.6,5.5,0.91,88,0.73,0.73,15,4.73,1,1.09,1.45,-0.36,-0.36,-0.11,1.16,1.29,-0.11,-0.12,-0.01,Matches
566,Lander Pinillos,es ESP,MF,Alavés,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
567,Yeremi Pino,es ESP,"MF,FW",Villarreal,21,2002,34,"1,934",57,56.5,21.5,1.16,69,0.05,0.42,24,0.05,1.79,2,1.3,0.7,0.7,0.4,1.74,1.06,0.68,0.68,0.34,Matches
568,Xavi Pleguezuelo,es ESP,DF,Betis,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
569,Jackson Porozo,ec ECU,DF,Leganés,23,2000,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
